epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,36023.8,0.59399,0.38464,1.02105,0.87273,0.75338,0.82597,0.44333,1.56629,0.89527,1.63008,0.00274,0.00274,0.00274
112,36317,0.58711,0.38082,1.01877,0.87523,0.75512,0.82747,0.44409,1.56571,0.89377,1.62885,0.002674,0.002674,0.002674
113,36623.7,0.5854,0.3769,1.01628,0.86898,0.75946,0.82788,0.44459,1.56506,0.89147,1.62728,0.002608,0.002608,0.002608
114,36932.1,0.58859,0.38036,1.01549,0.87314,0.75913,0.82995,0.44461,1.56431,0.8901,1.62606,0.002542,0.002542,0.002542
115,37240.8,0.58083,0.37417,1.01417,0.87099,0.75867,0.82955,0.44469,1.5637,0.88887,1.62499,0.002476,0.002476,0.002476
116,37551,0.57431,0.36923,1.01094,0.86782,0.75879,0.82858,0.44586,1.56297,0.88794,1.62385,0.00241,0.00241,0.00241
117,37859.5,0.57224,0.37115,1.0109,0.87017,0.75963,0.82948,0.44549,1.56275,0.88641,1.62298,0.002344,0.002344,0.002344
118,38169.4,0.56847,0.36748,1.01182,0.87023,0.75881,0.82879,0.4473,1.56258,0.8851,1.62224,0.002278,0.002278,0.002278
119,38474.7,0.57119,0.36512,1.01159,0.87527,0.7603,0.83201,0.44748,1.56178,0.8836,1.6209,0.002212,0.002212,0.002212
120,38780.5,0.56663,0.36535,1.00801,0.87843,0.75863,0.83251,0.44773,1.56101,0.88252,1.61983,0.002146,0.002146,0.002146
121,39092.4,0.56469,0.36563,1.00758,0.87762,0.75925,0.83246,0.44876,1.56106,0.8808,1.61918,0.00208,0.00208,0.00208
122,39407.7,0.56244,0.36505,1.0068,0.87894,0.76024,0.8329,0.44839,1.56061,0.87963,1.61821,0.002014,0.002014,0.002014
123,39722.4,0.55994,0.36126,1.00409,0.87849,0.75868,0.83266,0.44871,1.56017,0.879,1.61726,0.001948,0.001948,0.001948
124,40041.2,0.5581,0.35953,1.00517,0.87843,0.75873,0.83282,0.44954,1.55957,0.87885,1.6163,0.001882,0.001882,0.001882
125,40356.5,0.5581,0.35607,1.00273,0.88395,0.75929,0.83369,0.45044,1.55924,0.87702,1.61524,0.001816,0.001816,0.001816
126,40665.5,0.55042,0.35597,1.00317,0.88351,0.76161,0.83472,0.45054,1.55838,0.87585,1.6141,0.00175,0.00175,0.00175
127,40978.3,0.55051,0.35672,1.00073,0.88398,0.76542,0.83583,0.45095,1.55772,0.87507,1.61292,0.001684,0.001684,0.001684
128,41290.6,0.54694,0.35383,0.99918,0.8857,0.76487,0.83646,0.45135,1.55703,0.87426,1.6118,0.001618,0.001618,0.001618
129,41600.4,0.54372,0.35035,0.99889,0.88414,0.76607,0.83688,0.45184,1.55658,0.87304,1.61061,0.001552,0.001552,0.001552
130,41913.8,0.54068,0.3471,0.99527,0.88294,0.7667,0.83741,0.45263,1.556,0.87141,1.60917,0.001486,0.001486,0.001486
131,42224.1,0.53679,0.3455,0.99481,0.88246,0.767,0.83577,0.45253,1.55492,0.86998,1.60777,0.00142,0.00142,0.00142
132,42532.3,0.53254,0.34439,0.993,0.88353,0.76838,0.83713,0.45185,1.55379,0.8688,1.60654,0.001354,0.001354,0.001354
133,42836.8,0.5287,0.34245,0.99131,0.8814,0.76917,0.83763,0.45226,1.55346,0.86793,1.60578,0.001288,0.001288,0.001288
134,43146.9,0.53068,0.34184,0.9929,0.88105,0.77102,0.8391,0.45285,1.55259,0.86694,1.60464,0.001222,0.001222,0.001222
135,43455.3,0.52672,0.33824,0.99065,0.88349,0.76794,0.83844,0.4526,1.55117,0.86542,1.60298,0.001156,0.001156,0.001156
136,43757.7,0.52408,0.33856,0.98864,0.8858,0.77136,0.8397,0.45313,1.55046,0.86454,1.60205,0.00109,0.00109,0.00109
137,44064.5,0.51861,0.33583,0.98619,0.88823,0.77051,0.84003,0.45348,1.54971,0.86346,1.6012,0.001024,0.001024,0.001024
138,44375.4,0.51471,0.33063,0.98634,0.88958,0.77185,0.84118,0.45377,1.54892,0.8622,1.60043,0.000958,0.000958,0.000958
139,44689.5,0.51467,0.33295,0.98634,0.88518,0.77302,0.84086,0.45399,1.54823,0.86107,1.59939,0.000892,0.000892,0.000892
140,44995.6,0.51484,0.33055,0.98492,0.88849,0.77336,0.84222,0.45459,1.54793,0.86001,1.59869,0.000826,0.000826,0.000826
141,45297.3,0.51029,0.33136,0.98495,0.88316,0.77375,0.84184,0.45521,1.54724,0.85892,1.59744,0.00076,0.00076,0.00076
142,45602,0.50887,0.3264,0.98312,0.88608,0.77343,0.84197,0.45593,1.54653,0.85732,1.59657,0.000694,0.000694,0.000694
143,45909.1,0.50023,0.32366,0.97778,0.88557,0.77481,0.84227,0.45675,1.54568,0.85625,1.59571,0.000628,0.000628,0.000628
144,46213.9,0.49912,0.32247,0.97892,0.88936,0.77351,0.84213,0.45694,1.54552,0.85516,1.59495,0.000562,0.000562,0.000562
145,46522.2,0.50043,0.32197,0.98027,0.88898,0.77586,0.84288,0.45719,1.54461,0.85396,1.59376,0.000496,0.000496,0.000496
146,46829.6,0.49276,0.31697,0.97452,0.88931,0.77589,0.84292,0.45749,1.54429,0.85274,1.59301,0.00043,0.00043,0.00043
147,47140.2,0.49545,0.31672,0.97741,0.89271,0.7741,0.84258,0.45794,1.54394,0.85155,1.59236,0.000364,0.000364,0.000364
148,47451.4,0.48997,0.31533,0.97509,0.89275,0.77594,0.84215,0.45824,1.54328,0.85018,1.59182,0.000298,0.000298,0.000298
149,47764,0.48469,0.31471,0.97497,0.89392,0.77594,0.84292,0.45884,1.54248,0.84871,1.59089,0.000232,0.000232,0.000232
150,48074.7,0.48587,0.31408,0.9735,0.89256,0.7766,0.84294,0.45962,1.54195,0.84706,1.59003,0.000166,0.000166,0.000166
